股票代码,市场,名称,pe,市值,所属板块,满足的条件
HK.00002,港股,CLP HOLDINGS,18.126000,189736437807.00,,
HK.00003,港股,HK & CHINA GAS,23.704000,134910860808.54,,
HK.00004,港股,WHARF HOLDINGS,1616.250000,79028866676.22,,RSI超买
HK.00005,港股,HSBC HOLDINGS,14.671000,2409135186306.00,,
HK.00006,港股,POWER ASSETS,22.060000,137562837690.70,,
HK.00012,港股,HENDERSON LAND,26.352000,149017891952.34,,
HK.00014,港股,HYSAN DEV,63.843000,20129361170.80,,
HK.00016,港股,SHK PPT,17.887000,393518561209.20,,
HK.00019,港股,SWIRE PACIFIC A,38.934000,66058182400.00,,
HK.00066,港股,MTR CORPORATION,14.147000,207660100984.56,,
HK.00083,港股,SINO LAND,32.107000,119730904175.03,,
HK.00101,港股,HANG LUNG PPT,25.770000,46521147266.40,,
HK.00144,港股,CHINA MER PORT,10.078000,65069142383.00,,
HK.00177,港股,JIANGSU EXPRESS,9.953000,53551255925.00,,
HK.00268,港股,KINGDEE INT'L,294.827000,30347957992.05,,
HK.00270,港股,GUANGDONG INV,11.159000,53479379379.20,,
HK.00290,港股,GOFINTECH QUANT,348.571000,75424201134.48,,RSI超买
HK.00291,港股,CHINA RES BEER,23.339000,87073708130.20,,
HK.00293,港股,CATHAY PAC AIR,6.501000,70419462680.04,,
HK.00300,港股,MIDEA GROUP,13.630000,682297591844.70,,
HK.00316,港股,OOIL,7.653000,90140955040.50,,
HK.00322,港股,TINGYI,13.631000,67920022138.00,,
HK.00358,港股,JIANGXI COPPER,13.593000,126805150811.10,,
HK.00363,港股,SHANGHAI IND H,8.266000,16699570176.00,,RSI超买
HK.00388,港股,HKEX,27.715000,522855935498.00,,
HK.00392,港股,BEIJING ENT,6.966000,38998101308.00,,
HK.00470,港股,WUXI LEAD,54.746000,99448753179.60,,RSI超买
HK.00512,港股,GRAND PHARMA,17.771000,22078332540.56,,
HK.00522,港股,ASMPT,63.561000,68149211927.30,,RSI超买
HK.00546,港股,FUFENG GROUP,5.977000,16322822700.87,,
HK.00551,港股,YUE YUEN IND,7.873000,23346296871.30,,
HK.00564,港股,ZCZL,6.643000,30923126787.60,,
HK.00590,港股,LUK FOOK HOLD,10.201000,13104247212.00,,
HK.00631,港股,SANY INT'L,18.013000,35495973478.81,,
HK.00667,港股,CHINA EAST EDU,14.031000,11734507834.63,,
HK.00669,港股,TECHTRONIC IND,21.958000,204750137397.90,,
HK.00683,港股,KERRY PPT,36.749000,34453997982.72,,
HK.00857,港股,PETROCHINA,12.288000,2201742363150.54,,RSI超买
HK.00914,港股,CONCH CEMENT,11.267000,103654358445.24,,
HK.00916,港股,CHINA LONGYUAN,11.288000,55676375652.24,,
HK.00939,港股,CCB,5.932000,2296851349210.02,,
HK.00941,港股,CHINA MOBILE,11.912000,1832219387791.20,,RSI超买
HK.00981,港股,SMIC,106.616000,568130538323.10,,EMA突破
HK.00992,港股,LENOVO GROUP,12.572000,144886420647.36,,
HK.00998,港股,CITIC BANK,5.659000,456290330564.80,,
HK.01038,港股,CKI HOLDINGS,20.030000,165538439086.50,,
HK.01044,港股,HENGAN INT'L,11.015000,30920543665.56,,
HK.01088,港股,CHINA SHENHUA,17.551000,1048033465569.28,,
HK.01113,港股,CK ASSET,15.766000,170999169350.38,,
HK.01128,港股,WYNN MACAU,18.290000,29845278792.00,,
HK.01157,港股,ZOOMLION,14.129000,68063972307.32,,
HK.01193,港股,CHINA RES GAS,12.257000,43480301846.09,,
HK.01208,港股,MMG,25.412000,100887807756.96,,
HK.01209,港股,CHINA RES MIXC,24.332000,106912300000.00,,
HK.01258,港股,CHINFMINING,16.625000,52287282400.00,,
HK.01288,港股,ABC,6.386000,2127896845947.84,,
HK.01299,港股,AIA,18.421000,893730821785.20,,
HK.01347,港股,HUA HONG SEMI,463.821000,198263833221.30,,
HK.01385,港股,SHANGHAI FUDAN,115.654000,32009730055.00,,
HK.01396,港股,GD-HKGBA HLDGS,144.558000,11637829844.35,,RSI超买
HK.01398,港股,ICBC,5.957000,2505535987335.67,,
HK.01519,港股,J&T EXPRESS-W,56.321000,86974534549.00,,
HK.01530,港股,3SBIO,6.254000,58729445233.68,,
HK.01658,港股,PSBC,6.055000,602877168529.84,,
HK.01681,港股,CONSUN PHARMA,11.438000,13649894140.42,,
HK.01698,港股,TME-SW,9.020000,110425139720.00,,
HK.01729,港股,TIME INTERCON,55.240000,43249445746.64,,
HK.01735,港股,CENTRAL NEW EGY,1047.500000,35397120000.00,,
HK.01766,港股,CRRC,9.756000,149234093257.60,,
HK.01787,港股,SD GOLD,22.383000,130737601329.00,,
HK.01797,港股,EAST BUY,72.937000,27359122918.76,,
HK.01801,港股,INNOVENT BIO,173.410000,156167193510.00,,
HK.01810,港股,XIAOMI-W,16.312000,752237265151.08,,
HK.01876,港股,BUD APAC,26.724000,101576854990.00,,
HK.01880,港股,CTG DUTY-FREE,28.710000,131836197061.80,,
HK.01888,港股,KB LAMINATES,44.544000,108795777500.00,,RSI超买
HK.01908,港股,C&D INTL GROUP,8.220000,33221485777.56,,
HK.01910,港股,SAMSONITE,8.797000,19791628391.67,,
HK.01913,港股,PRADA,11.429000,88791192800.00,,
HK.01919,港股,COSCO SHIP HOLD,7.775000,220502701238.40,,
HK.01929,港股,CHOW TAI FOOK,17.716000,104864361098.00,,
HK.01989,港股,DELTON,62.214000,82308239488.80,,RSI超买
HK.02020,港股,ANTA SPORTS,15.086000,226948415295.00,,
HK.02038,港股,FIH,47.566000,19522310013.72,,
HK.02050,港股,SANHUA,30.181000,139706062642.00,,
HK.02057,港股,ZTO EXPRESS-W,14.851000,149303766610.50,,
HK.02096,港股,SIMCERE PHARMA,20.663000,30733059797.12,,
HK.02097,港股,MIXUE GROUP,16.763000,109254290640.00,,
HK.02099,港股,CHINAGOLDINTL,18.064000,65646117496.80,,
HK.02196,港股,FOSUN PHARMA,12.903000,50822286810.75,,
HK.02208,港股,GOLDWIND,20.694000,72986895020.16,,
HK.02228,港股,XTALPI,297.812000,41011132882.33,,
HK.02232,港股,CRYSTAL INTL,10.734000,18771568760.00,,
HK.02245,港股,LYGEND RESOURCE,5.887000,18624498259.50,,RSI超卖
HK.02313,港股,SHENZHOU INTL,10.904000,70332724659.60,,
HK.02315,港股,BIOCYTOGEN-B,71.195000,23417477208.00,,
HK.02318,港股,PING AN,7.585000,1140781445685.00,,EMA突破
HK.02319,港股,MENGNIU DAIRY,39.342000,67298958600.55,,
HK.02328,港股,PICC P&C,6.973000,311621141895.03,,
HK.02331,港股,LI NING,16.085000,52264934085.66,,
HK.02338,港股,WEICHAI POWER,26.285000,336647023789.44,,RSI超买
HK.02388,港股,BOC HONG KONG,11.783000,472814733495.52,,
HK.02465,港股,LOPAL TECH,182.608000,14386656963.00,,RSI超买
HK.02510,港股,TS LINES,5.256000,13453450480.00,,
HK.02589,港股,AUNTEA JENNY,29.757000,16516874140.00,,RSI超买
HK.02600,港股,CHALCO,11.735000,194880474274.72,,
HK.02607,港股,SH PHARMA,6.629000,43610334873.84,,
HK.02618,港股,JD LOGISTICS,13.689000,100754474757.20,,
HK.02638,港股,HKELECTRIC-SS,17.949000,56463318000.00,,
HK.02648,港股,ANJOY FOOD,17.536000,30345957258.60,,RSI超买
HK.02688,港股,ENN ENERGY,10.580000,69155379030.40,,
HK.02689,港股,ND PAPER,8.207000,29654835525.52,,
HK.02715,港股,ESTUN,86.689000,12416854151.99,,
HK.02888,港股,STANCHART,10.704000,423578555002.80,,
HK.02899,港股,ZIJIN MINING,13.576000,948756697712.96,,
HK.03288,港股,HAITIAN FLAV,24.840000,204813873040.00,,
HK.03328,港股,BANKCOMM,5.784000,631801057194.45,,
HK.03330,港股,LINGBAO GOLD,16.763000,28638923611.76,,
HK.03360,港股,FE HORIZON,8.348000,35929130481.20,,
HK.03908,港股,CICC,7.610000,97607133870.96,,
HK.03939,港股,WANGUO GOLD GP,32.772000,49164453063.00,,
HK.03958,港股,DFZQ,8.015000,52509267904.56,,
HK.03986,港股,GIGADEVICE,100.861000,328396388048.40,,
HK.03988,港股,BANK OF CHINA,5.870000,1630394803778.84,,
HK.06055,港股,CTIHK,21.100000,20681232000.00,,
HK.06060,港股,ZA ONLINE,16.201000,19762855317.00,,
HK.06066,港股,CSC,7.063000,90132793541.14,,
HK.06099,港股,CMSC,7.923000,119490278314.44,,
HK.06127,港股,JOINN,28.743000,16110986730.00,,
HK.06160,港股,BEONE MEDICINES,119.806000,267590357148.80,,
HK.06178,港股,EB SECURITIES,8.039000,37070732617.56,,
HK.06181,港股,LAOPU GOLD,18.102000,97562964000.00,,
HK.06198,港股,QINGDAO PORT,8.360000,49656915000.00,,
HK.06655,港股,HX BLDG MAT,9.384000,34532117729.89,,
HK.06693,港股,CHIFENG GOLD,16.838000,68414802408.00,,
HK.06869,港股,YOFC,125.710000,164753116492.00,,
HK.06881,港股,CGS,6.227000,90427506657.12,,
HK.06936,港股,SF HOLDING,13.806000,178395836478.60,,
HK.07489,港股,VOYAH AUTO,19.607000,22080000000.00,,
HK.09633,港股,NONGFU SPRING,29.961000,526334627520.00,,
HK.09636,港股,JF SMARTINVEST,16.457000,16795452428.00,,
HK.09696,港股,TIANQI LITHIUM,44.898000,113379979120.35,,RSI超买
HK.09698,港股,GDS-SW,63.730000,63197941723.66,,
HK.09863,港股,LEAPMOTOR,113.174000,67422355957.84,,
HK.09899,港股,NETEASE MUSIC,8.015000,24387016840.00,,RSI超卖
HK.09927,港股,SERES,19.705000,133087660570.40,,
HK.09980,港股,EASTROC,21.485000,114196231140.00,,
HK.09988,港股,BABA-W,23.533000,2418241133700.00,,
HK.09999,港股,NTES-S,15.279000,571124654154.00,,
